,open,high,low,close,volume
2025-06-21,140.12,142.59,130.8,135.39,928733.531476
2025-06-22,135.41,137.59,126.0,131.72,1705132.516921
2025-06-23,131.71,146.93,130.69,144.5,1594890.87203
2025-06-24,144.52,146.78,142.29,145.93,858976.722769
2025-06-25,145.94,147.99,142.27,143.56,810958.066598
2025-06-26,143.56,148.0,138.66,139.07,803741.024694
2025-06-27,139.07,144.88,137.17,142.11,623954.541889
2025-06-28,142.12,152.72,141.15,150.72,641312.305964
2025-06-29,150.73,154.76,149.37,153.31,618625.606051
2025-06-30,153.31,159.97,149.43,154.83,1606029.909587
2025-07-01,154.83,155.65,144.8,146.87,971162.756077
2025-07-02,146.86,154.49,145.79,152.3,908235.797709
2025-07-03,152.3,156.35,149.79,152.33,821048.165718
2025-07-04,152.33,153.9,145.19,147.69,896542.557293
2025-07-05,147.69,148.69,145.88,147.57,380324.327266
2025-07-06,147.57,153.9,146.75,151.86,578103.397975
2025-07-07,151.87,153.63,147.7,148.91,753978.045616
2025-07-08,148.91,152.89,147.86,151.67,678687.185293
2025-07-09,151.68,157.99,150.55,157.07,1216930.418953
2025-07-10,157.07,165.41,155.61,164.34,1543642.458503
2025-07-11,164.37,168.21,159.52,162.94,1627959.4892
2025-07-12,162.92,163.9,157.77,160.7,894503.181433
2025-07-13,160.7,164.16,159.64,161.15,1008905.437616
2025-07-14,161.16,168.66,160.62,162.22,1426380.81474
2025-07-15,162.22,164.29,157.22,164.01,1325125.829306
2025-07-16,164.0,176.05,161.53,173.64,1983392.695479
2025-07-17,173.66,178.16,168.74,175.89,1650131.485353
2025-07-18,175.88,184.68,173.21,177.27,1799339.91745
2025-07-19,177.28,178.59,174.01,176.98,1154299.517856
2025-07-20,176.98,183.68,176.34,181.47,1381979.981068
