,open,high,low,close,volume
2025-06-21,-5.33358623535761,-5.207117209799593,-4.732943657960911,-5.334205137702055,91.47613127601255
2025-06-22,-5.333835433795755,-5.207369360646315,-4.733175339437494,-5.334399322733406,168.05092928668807
2025-06-23,-5.334031194776888,-5.206898342864638,-4.732948967328083,-5.333723114368104,157.1779994553147
2025-06-24,-5.333353438515182,-5.2069059073900394,-4.73238907042634,-5.3336474509907665,84.59614606641537
2025-06-25,-5.333278308625125,-5.206844886885133,-4.7323900357658255,-5.333772851133627,79.86015469346054
2025-06-26,-5.33340423055353,-5.206844382583439,-4.7325642795430065,-5.334010423556179,79.14835117955381
2025-06-27,-5.333641789149554,-5.207001724711794,-4.7326361973346955,-5.333849572740019,61.41634242641006
2025-06-28,-5.333480418611052,-5.206606352184133,-4.732444094777029,-5.33339400513241,63.128306639241
2025-06-29,-5.3330248775171185,-5.20650347463867,-4.732047340248379,-5.3332569644699594,60.890759326668096
2025-06-30,-5.3328883739140585,-5.206240733456386,-4.732044444229922,-5.3331765390618795,158.27662215698106
2025-07-01,-5.332807953186674,-5.206458591787953,-4.732267920320877,-5.3335977142252435,95.66084733628531
2025-07-02,-5.333229632921709,-5.206517090784393,-4.732220136016331,-5.33331040503717,89.45447765163927
2025-07-03,-5.33294181137107,-5.206423290669412,-4.732027068119178,-5.333308817693589,80.85532253435983
2025-07-04,-5.332940224119872,-5.206546844584307,-4.7322490962009045,-5.333554326834043,88.30119494554164
2025-07-05,-5.333185718971887,-5.2068095857665915,-4.732215791988645,-5.333560676208365,37.38754431642679
2025-07-06,-5.333192067976681,-5.206546844584307,-4.732173799721015,-5.333333686076351,56.894128784205755
2025-07-07,-5.33296456197158,-5.20656046073003,-4.732127946095441,-5.333489774861769,74.24032045985464
2025-07-08,-5.3331211707564865,-5.206597779055344,-4.732120223379555,-5.333343739252361,66.8145219601577
2025-07-09,-5.332974614562503,-5.206340585191687,-4.73199038521872,-5.3330580174078674,119.9004580198295
2025-07-10,-5.332689438430529,-5.205966393335151,-4.731746154328821,-5.332673351146855,152.12346307934516
2025-07-11,-5.332303207305591,-5.205825188860986,-4.731557430459355,-5.332747427180613,160.4394960926831
2025-07-12,-5.332379924446846,-5.206042542890861,-4.731641897664359,-5.332865948834625,88.10005507097335
2025-07-13,-5.332497381035525,-5.206029431046832,-4.73155163842244,-5.332842138680917,99.38333830988397
2025-07-14,-5.332473043183817,-5.2058024952847815,-4.731504336787638,-5.332785523426545,140.55816372439438
2025-07-15,-5.332416960308141,-5.206022875124817,-4.731668444500217,-5.332690811926241,130.57157151789065
2025-07-16,-5.332322783403704,-5.205429816333326,-4.731460413841035,-5.332181274636895,195.49521678183547
2025-07-17,-5.331811688517828,-5.2053234086760085,-4.731112408956418,-5.332062223868356,162.6262791240086
2025-07-18,-5.331694231929148,-5.204994603971882,-4.73089665558135,-5.3319892060636525,177.34243121012793
2025-07-19,-5.3316201602065565,-5.20530172370319,-4.730858042001919,-5.33200455038493,113.72328791703688
2025-07-20,-5.33163603271854,-5.205045034141227,-4.730745579951828,-5.3317669779623795,136.1789915027946
